Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
Verano,Multicolor,Vintage,Floral,V,Sin mangas,A línea,Poliuretano,$290.00,100
Verano,Multicolor,Vintage,Floral,Redondo,Media,Natural,Algodón,$145.53,17
Primavera,Negro,Fiesta,Liso,Alzado,Sin mangas,Ajustado,Poliuretano,$155.54,15
Verano,Multicolor,Vintage,Floral,Recto,Manga corta,A línea,Poliuretano,$209.44,1000
Verano,Azul,Vintage,Floral,Corazon,Media,Natural,Poliuretano,$133.59,12
Invierno,Multicolor,Vintage,Floral,Recto,Manga corta,A línea,Poliuretano,$308.06,600
Primavera,Gris,Elegante,Liso,Redondo,Manga larga,Ajustado,Algodón,$55.00,20
Verano,Cafe,Casual,Generico,Redondo,Sin mangas,Ajustado,Poliamida,$173.74,700
Invierno,Verde,Casual,Floral,Redondo,Manga corta,A línea,Algodón,$341.00,10
Otoño,Cafe,Vintage,Floral,V,Sin mangas,A línea,Algodón,$219.00,900
Verano,Rojo,Sexy,Liso,Recto,Sin mangas,Ajustado,Algodón,$118.26,26
Primavera,Rojo,Casual,Liso,Redondo,Manga corta,Camisa,Algodón,$162.79,15
Otoño,Azul,Sexy,Liso,V,Sin mangas,A línea,Algodón,$170.00,800
Verano,Blanco,Vintage,Floral,V,Manga corta,A línea,Poliuretano,$121.36,80
Verano,Cafe,Casual,Generico,Redondo,Manga larga,Natural,Poliuretano,$171.00,300
Invierno,Verde,Casual,Combinado,Redondo,Sin mangas,Natural,Tela tricotada,$197.00,100
Primavera,Morado,Casual,Liso,Redondo,Manga corta,Natural,Poliuretano,$198.00,100
Otoño,Blanco,Vintage,Liso,Redondo,Manga corta,Holgado,Poliamida,$339.45,10
Invierno,Morado,Elegante,Generico,Asimetrico,Sin mangas,Holgado,Algodón,$244.13,10
Invierno,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Poliuretano,$161.33,1000
Invierno,Azul,Casual,Geometrico,V,Media,A línea,Viscosa,$195.78,24
Invierno,Negro,Elegante,Liso,Recto,Sin mangas,Tirantes,Algodón,$227.76,10
Otoño,Azul,Vintage,Geometrico,Redondo,Media,Natural,Poliuretano,$175.00,200
Primavera,Rojo,Casual,Combinado,Redondo,Manga corta,A línea,Tela tricotada,$227.76,19
Invierno,Verde,Casual,Liso,Redondo,Manga corta,Ajustado,Algodón,$135.78,22
Invierno,Negro,Vintage,Floral,Redondo,Media,Generico,Tela tricotada,$198.00,200
Verano,Multicolor,Vintage,Floral,V,Sin mangas,A línea,Poliamida,$246.40,100
Invierno,Negro,Elegante,Liso,Alzado,Sin mangas,Ajustado,Algodón,$350.40,60
Invierno,Azul,Casual,Liso,Redondo,Sin mangas,Generico,Poliuretano,$265.50,400
Primavera,Rojo,Casual,Geometrico,V,Sin mangas,Ajustado,Poliuretano,$149.38,900
Otoño,Multicolor,Casual,Geometrico,V,Media,Natural,Algodón,$176.00,400
Invierno,Blanco,Casual,Combinado,V,Media,Camisa,Tela tricotada,$260.61,200
Verano,Multicolor,Casual,Floral,Redondo,Sin mangas,Natural,Poliamida,$146.88,17
Invierno,Cafe,Casual,Liso,Alzado,Sin mangas,Natural,Poliuretano,$189.07,16
Otoño,Blanco,Vintage,Floral,V,Manga corta,A línea,Tela tricotada,$131.00,10
Invierno,Rojo,Sexy,Liso,Corazon,Manga corta,Ajustado,Viscosa,$181.72,13
Otoño,Blanco,Vintage,Liso,Recto,Sin mangas,A línea,Poliamida,$389.09,80
Verano,Rosa,Vintage,Generico,Asimetrico,Manga larga,A línea,Tela tricotada,$195.00,20
Primavera,Verde,Vintage,Floral,V,Media,A línea,Algodón,$262.57,800
Otoño,Multicolor,Casual,Floral,Redondo,Sin mangas,Ajustado,Tela tricotada,$183.00,200
Primavera,Negro,Vintage,Liso,V,Sin mangas,Ajustado,Viscosa,$216.08,100
Otoño,Verde,Vintage,Floral,V,Manga corta,Holgado,Poliamida,$221.92,10
Otoño,Rojo,Vintage,Geometrico,V,Manga corta,A línea,Algodón,$217.91,300
Verano,Negro,Casual,Floral,Corazon,Manga corta,A línea,Poliuretano,$200.75,1000
Invierno,Negro,Casual,Combinado,Redondo,Manga corta,Camisa,Poliuretano,$179.58,800
Otoño,Multicolor,Sexy,Generico,Redondo,Sin mangas,A línea,Poliuretano,$120.45,35
Otoño,Multicolor,Casual,Floral,Redondo,Media,Generico,Poliuretano,$374.00,100
Primavera,Rojo,Casual,Liso,V,Media,Natural,Poliamida,$194.00,100
Invierno,Verde,Casual,Liso,Alzado,Manga larga,A línea,Algodón,$181.04,22
Invierno,Azul,Elegante,Floral,Asimetrico,Manga corta,Ajustado,Algodón,$223.38,20
Primavera,Rosa,Casual,Geometrico,Recto,Manga corta,Holgado,Viscosa,$363.00,100
Invierno,Multicolor,Vintage,Combinado,Redondo,Sin mangas,Natural,Poliamida,$193.00,100
Invierno,Azul,Vintage,Combinado,V,Manga corta,Ajustado,Algodón,$196.37,300
Primavera,Multicolor,Casual,Floral,V,Media,Natural,Algodón,$231.00,900
Primavera,Rosa,Casual,Liso,V,Media,Holgado,Poliuretano,$280.28,500
Otoño,Multicolor,Casual,Geometrico,Corazon,Manga corta,Ajustado,Algodón,$196.00,20
Otoño,Rojo,Vintage,Floral,V,Sin mangas,A línea,Poliuretano,$146.30,15
Invierno,Rojo,Sexy,Liso,V,Sin mangas,Tirantes,Poliuretano,$164.25,23
Verano,Negro,Casual,Combinado,Redondo,Manga corta,Camisa,Viscosa,$203.00,300
Primavera,Negro,Casual,Liso,Redondo,Manga corta,Ajustado,Poliuretano,$176.66,18
Primavera,Rosa,Elegante,Liso,Alzado,Sin mangas,Ajustado,Algodón,$171.00,31
Otoño,Multicolor,Vintage,Floral,V,Manga corta,A línea,Poliuretano,$236.52,600
Otoño,Naranja,Casual,Floral,Redondo,Manga corta,Ajustado,Algodón,$325.00,600
Otoño,Multicolor,Vintage,Floral,Corazon,Media,Natural,Viscosa,$189.00,500
Primavera,Amarillo,Casual,Liso,V,Manga corta,A línea,Viscosa,$253.38,700
Otoño,Negro,Elegante,Liso,Redondo,Media,A línea,Elastano,$199.43,17
Verano,Azul,Vintage,Floral,Recto,Sin mangas,Tirantes,Algodón,$315.36,900
Invierno,Rojo,Vintage,Floral,Redondo,Sin mangas,Ajustado,Elastano,$272.00,500
Verano,Multicolor,Casual,Geometrico,V,Media,Natural,Poliuretano,$196.00,14
